"Nama_Startup","Kategori_Layanan","Pendapatan_Tahunan_Miliar_IDR","Biaya_Akuisisi_Pelanggan_Juta_IDR","Nilai_Pelanggan_Juta_IDR","Tingkat_Churn_Persen"
"Startup_122","Keuangan",881,1069,3122,8.05
"Startup_123","SDM",892,108,3155,7.94
"Startup_124","Pemasaran",903,1091,3188,7.83
"Startup_125","CRM",914,1102,3221,7.72
"Startup_126","Proyek",925,1113,3254,7.61
"Startup_127","Keuangan",936,1124,3287,7.5
"Startup_128","SDM",947,1135,332,7.39
"Startup_129","Pemasaran",958,1146,3353,7.28
"Startup_130","CRM",969,1157,3386,7.17
"Startup_131","Proyek",98,1168,3419,7.06
"Startup_132","Keuangan",991,1179,3452,6.95
"Startup_133","SDM",1002,119,3485,6.84
"Startup_134","Pemasaran",1013,1201,3518,6.73
"Startup_135","CRM",1024,1212,3551,6.62
"Startup_136","Proyek",1035,1223,3584,6.51
"Startup_137","Keuangan",1046,1234,3617,6.4
"Startup_138","SDM",1057,1245,365,6.29
"Startup_139","Pemasaran",1068,1256,3683,6.18
"Startup_140","CRM",1079,1267,3716,6.07
"Startup_141","Proyek",109,1278,3749,5.96
"Startup_142","Keuangan",1101,1289,3782,5.85
"Startup_143","SDM",1112,130,3815,5.74
"Startup_144","Pemasaran",1123,1311,3848,5.63
"Startup_145","CRM",1134,1322,3881,5.52
"Startup_146","Proyek",1145,1333,3914,5.41
"Startup_147","Keuangan",1156,1344,3947,5.3
"Startup_148","SDM",1167,1355,398,5.19
"Startup_149","Pemasaran",1178,1366,4013,5.08
"Startup_150","CRM",1189,1377,4046,4.97
"Startup_151","Proyek",120,1388,4079,4.86
"Startup_152","Keuangan",1211,1399,4112,4.75
"Startup_153","SDM",1222,141,4145,4.64
"Startup_154","Pemasaran",1233,1421,4178,4.53
"Startup_155","CRM",1244,1432,4211,4.42
"Startup_156","Proyek",1255,1443,4244,4.31
"Startup_157","Keuangan",1266,1454,4277,4.2
"Startup_158","SDM",1277,1465,431,4.09
"Startup_159","Pemasaran",1288,1476,4343,3.98
"Startup_160","CRM",1299,1487,4376,3.87
"Startup_161","Proyek",131,1498,4409,3.76
"Startup_162","Keuangan",1321,1509,4442,3.65
"Startup_163","SDM",1332,152,4475,3.54
"Startup_164","Pemasaran",1343,1531,4508,3.43
"Startup_165","CRM",1354,1542,4541,3.32
"Startup_166","Proyek",1365,1553,4574,3.21
"Startup_167","Keuangan",1376,1564,4607,3.1
"Startup_168","SDM",1387,1575,464,2.99
"Startup_169","Pemasaran",1398,1586,4673,2.88
"Startup_170","CRM",1409,1597,4706,2.77
"Startup_171","Proyek",142,1608,4739,2.66
"Startup_172","Keuangan",1431,1619,4772,2.55
"Startup_173","SDM",1442,163,4805,2.44
"Startup_174","Pemasaran",1453,1641,4838,2.33
"Startup_175","CRM",1464,1652,4871,2.22
"Startup_176","Proyek",1475,1663,4904,2.11
"Startup_177","Keuangan",1486,1674,4937,2
"Startup_178","SDM",1497,1685,497,1.89
"Startup_179","Pemasaran",1508,1696,5003,1.78
"Startup_180","CRM",1519,1707,5036,1.67
"Startup_181","Proyek",153,1718,5069,1.56
"Startup_182","Keuangan",1541,1729,5102,1.45
"Startup_183","SDM",1552,174,5135,1.34
"Startup_184","Pemasaran",1563,1751,5168,1.23
"Startup_185","CRM",1574,1762,5201,1.12
"Startup_186","Proyek",1585,1773,5234,1.01
"Startup_187","Keuangan",1596,1784,5267,0.9
"Startup_188","SDM",1607,1795,530,0.79
"Startup_189","Pemasaran",1618,1806,5333,0.68
"Startup_190","CRM",1629,1817,5366,0.57
"Startup_191","Proyek",164,1828,5399,0.46
"Startup_192","Keuangan",1651,1839,5432,0.35
"Startup_193","SDM",1662,185,5465,0.24
"Startup_194","Pemasaran",1673,1861,5498,0.13
"Startup_195","CRM",1684,1872,5531,0.02
"Startup_196","Proyek",1695,1883,5564,-0.09
"Startup_197","Keuangan",1706,1894,5597,-0.2
"Startup_198","SDM",1717,1905,563,-0.31
"Startup_199","Pemasaran",1728,1916,5663,-0.42
"Startup_200","CRM",1739,1927,5696,-0.53
"Startup_201","Proyek",175,1938,5729,-0.64
"Startup_202","Keuangan",1761,1949,5762,-0.75
"Startup_203","SDM",1772,196,5795,-0.86
"Startup_204","Pemasaran",1783,1971,5828,-0.97
"Startup_205","CRM",1794,1982,5861,-1.08
"Startup_206","Proyek",1805,1993,5894,-1.19
"Startup_207","Keuangan",1816,2004,5927,-1.3
"Startup_208","SDM",1827,2015,596,-1.41
"Startup_209","Pemasaran",1838,2026,5993,-1.52
"Startup_210","CRM",1849,2037,6026,-1.63
"Startup_211","Proyek",186,2048,6059,-1.74
"Startup_212","Keuangan",1871,2059,6092,-1.85
"Startup_213","SDM",1882,207,6125,-1.96
"Startup_214","Pemasaran",1893,2081,6158,-2.07
"Startup_215","CRM",1904,2092,6191,-2.18
"Startup_216","Proyek",1915,2103,6224,-2.29
"Startup_217","Keuangan",1926,2114,6257,-2.4
"Startup_218","SDM",1937,2125,629,-2.51
"Startup_219","Pemasaran",1948,2136,6323,-2.62
"Startup_220","CRM",1959,2147,6356,-2.73
"Startup_221","Proyek",197,2158,6389,-2.84
"Startup_222","Keuangan",1981,2169,6422,-2.95
"Startup_223","SDM",1992,218,6455,-3.06
"Startup_224","Pemasaran",2003,2191,6488,-3.17
"Startup_225","CRM",2014,2202,6521,-3.28
"Startup_226","Proyek",2025,2213,6554,-3.39
"Startup_227","Keuangan",2036,2224,6587,-3.5
"Startup_228","SDM",2047,2235,662,-3.61
"Startup_229","Pemasaran",2058,2246,6653,-3.72
"Startup_230","CRM",2069,2257,6686,-3.83
"Startup_231","Proyek",208,2268,6719,-3.94
"Startup_232","Keuangan",2091,2279,6752,-4.05
"Startup_233","SDM",2102,229,6785,-4.16
"Startup_234","Pemasaran",2113,2301,6818,-4.27
"Startup_235","CRM",2124,2312,6851,-4.38
"Startup_236","Proyek",2135,2323,6884,-4.49
"Startup_237","Keuangan",2146,2334,6917,-4.6
"Startup_238","SDM",2157,2345,695,-4.71
"Startup_239","Pemasaran",2168,2356,6983,-4.82
"Startup_240","CRM",2179,2367,7016,-4.93
"Startup_241","Proyek",219,2378,7049,-5.04
"Startup_242","Keuangan",2201,2389,7082,-5.15
"Startup_243","SDM",2212,240,7115,-5.26
"Startup_244","Pemasaran",2223,2411,7148,-5.37
"Startup_245","CRM",2234,2422,7181,-5.48
"Startup_246","Proyek",2245,2433,7214,-5.59
"Startup_247","Keuangan",2256,2444,7247,-5.7
"Startup_248","SDM",2267,2455,728,-5.81
"Startup_249","Pemasaran",2278,2466,7313,-5.92
"Startup_250","CRM",2289,2477,7346,-6.03
"Startup_251","Proyek",230,2488,7379,-6.14
"Startup_252","Keuangan",2311,2499,7412,-6.25
"Startup_253","SDM",2322,251,7445,-6.36
"Startup_254","Pemasaran",2333,2521,7478,-6.47
"Startup_255","CRM",2344,2532,7511,-6.58
"Startup_256","Proyek",2355,2543,7544,-6.69
"Startup_257","Keuangan",2366,2554,7577,-6.8
"Startup_258","SDM",2377,2565,761,-6.91
"Startup_259","Pemasaran",2388,2576,7643,-7.02
"Startup_260","CRM",2399,2587,7676,-7.13
"Startup_261","Proyek",241,2598,7709,-7.24
"Startup_262","Keuangan",2421,2609,7742,-7.35
"Startup_263","SDM",2432,262,7775,-7.46
"Startup_264","Pemasaran",2443,2631,7808,-7.57
"Startup_265","CRM",2454,2642,7841,-7.68
"Startup_266","Proyek",2465,2653,7874,-7.79
"Startup_267","Keuangan",2476,2664,7907,-7.9
"Startup_268","SDM",2487,2675,794,-8.01
"Startup_269","Pemasaran",2498,2686,7973,-8.12
"Startup_270","CRM",2509,2697,8006,-8.23
"Startup_271","Proyek",252,2708,8039,-8.34
"Startup_272","Keuangan",2531,2719,8072,-8.45
"Startup_273","SDM",2542,273,8105,-8.56
"Startup_274","Pemasaran",2553,2741,8138,-8.67
"Startup_275","CRM",2564,2752,8171,-8.78
"Startup_276","Proyek",2575,2763,8204,-8.89
"Startup_277","Keuangan",2586,2774,8237,-9
"Startup_278","SDM",2597,2785,827,-9.11
"Startup_279","Pemasaran",2608,2796,8303,-9.22
"Startup_280","CRM",2619,2807,8336,-9.33
"Startup_281","Proyek",263,2818,8369,-9.44
"Startup_282","Keuangan",2641,2829,8402,-9.55
"Startup_283","SDM",2652,284,8435,-9.66
"Startup_284","Pemasaran",2663,2851,8468,-9.77
"Startup_285","CRM",2674,2862,8501,-9.88
"Startup_286","Proyek",2685,2873,8534,-9.99
"Startup_287","Keuangan",2696,2884,8567,-10.1
"Startup_288","SDM",2707,2895,860,-10.21
"Startup_289","Pemasaran",2718,2906,8633,-10.32
"Startup_290","CRM",2729,2917,8666,-10.43
"Startup_291","Proyek",274,2928,8699,-10.54
"Startup_292","Keuangan",2751,2939,8732,-10.65
"Startup_293","SDM",2762,295,8765,-10.76
"Startup_294","Pemasaran",2773,2961,8798,-10.87
"Startup_295","CRM",2784,2972,8831,-10.98
"Startup_296","Proyek",2795,2983,8864,-11.09
"Startup_297","Keuangan",2806,2994,8897,-11.2
"Startup_298","SDM",2817,3005,893,-11.31
"Startup_299","Pemasaran",2828,3016,8963,-11.42
"Startup_300","CRM",2839,3027,8996,-11.53
"Startup_301","Proyek",285,3038,9029,-11.64
"Startup_302","Keuangan",2861,3049,9062,-11.75
"Startup_303","SDM",2872,306,9095,-11.86
"Startup_304","Pemasaran",2883,3071,9128,-11.97
"Startup_305","CRM",2894,3082,9161,-12.08
"Startup_306","Proyek",2905,3093,9194,-12.19
"Startup_307","Keuangan",2916,3104,9227,-12.3
"Startup_308","SDM",2927,3115,926,-12.41
"Startup_309","Pemasaran",2938,3126,9293,-12.52
"Startup_310","CRM",2949,3137,9326,-12.63
"Startup_311","Proyek",296,3148,9359,-12.74
"Startup_312","Keuangan",2971,3159,9392,-12.85
"Startup_313","SDM",2982,317,9425,-12.96
"Startup_314","Pemasaran",2993,3181,9458,-13.07
"Startup_315","CRM",3004,3192,9491,-13.18
"Startup_316","Proyek",3015,3203,9524,-13.29
"Startup_317","Keuangan",3026,3214,9557,-13.4
"Startup_318","SDM",3037,3225,959,-13.51
"Startup_319","Pemasaran",3048,3236,9623,-13.62
"Startup_320","CRM",3059,3247,9656,-13.73
"Startup_321","Proyek",307,3258,9689,-13.84
"Startup_322","Keuangan",3081,3269,9722,-13.95
"Startup_323","SDM",3092,328,9755,-14.06
"Startup_324","Pemasaran",3103,3291,9788,-14.17
"Startup_325","CRM",3114,3302,9821,-14.28
"Startup_326","Proyek",3125,3313,9854,-14.39
"Startup_327","Keuangan",3136,3324,9887,-14.5
"Startup_328","SDM",3147,3335,992,-14.61
"Startup_329","Pemasaran",3158,3346,9953,-14.72
"Startup_330","CRM",3169,3357,9986,-14.83
"Startup_331","Proyek",318,3368,10019,-14.94
"Startup_332","Keuangan",3191,3379,10052,-15.05
"Startup_333","SDM",3202,339,10085,-15.16
"Startup_334","Pemasaran",3213,3401,10118,-15.27
"Startup_335","CRM",3224,3412,10151,-15.38
"Startup_336","Proyek",3235,3423,10184,-15.49
"Startup_337","Keuangan",3246,3434,10217,-15.6
"Startup_338","SDM",3257,3445,1025,-15.71
"Startup_339","Pemasaran",3268,3456,10283,-15.82
"Startup_340","CRM",3279,3467,10316,-15.93
"Startup_341","Proyek",329,3478,10349,-16.04
"Startup_342","Keuangan",3301,3489,10382,-16.15
"Startup_343","SDM",3312,350,10415,-16.26
"Startup_344","Pemasaran",3323,3511,10448,-16.37
"Startup_345","CRM",3334,3522,10481,-16.48
"Startup_346","Proyek",3345,3533,10514,-16.59
"Startup_347","Keuangan",3356,3544,10547,-16.7
"Startup_348","SDM",3367,3555,1058,-16.81
"Startup_349","Pemasaran",3378,3566,10613,-16.92
"Startup_350","CRM",3389,3577,10646,-17.03
"Startup_351","Proyek",340,3588,10679,-17.14
"Startup_352","Keuangan",3411,3599,10712,-17.25
"Startup_353","SDM",3422,361,10745,-17.36
"Startup_354","Pemasaran",3433,3621,10778,-17.47
"Startup_355","CRM",3444,3632,10811,-17.58
"Startup_356","Proyek",3455,3643,10844,-17.69
"Startup_357","Keuangan",3466,3654,10877,-17.8
"Startup_358","SDM",3477,3665,1091,-17.91
"Startup_359","Pemasaran",3488,3676,10943,-18.02
"Startup_360","CRM",3499,3687,10976,-18.13
"Startup_361","Proyek",351,3698,11009,-18.24
"Startup_362","Keuangan",3521,3709,11042,-18.35
"Startup_363","SDM",3532,372,11075,-18.46
"Startup_364","Pemasaran",3543,3731,11108,-18.57
"Startup_365","CRM",3554,3742,11141,-18.68
"Startup_366","Proyek",3565,3753,11174,-18.79
"Startup_367","Keuangan",3576,3764,11207,-18.9
"Startup_368","SDM",3587,3775,1124,-19.01
"Startup_369","Pemasaran",3598,3786,11273,-19.12
"Startup_370","CRM",3609,3797,11306,-19.23
"Startup_371","Proyek",362,3808,11339,-19.34
"Startup_372","Keuangan",3631,3819,11372,-19.45
"Startup_373","SDM",3642,383,11405,-19.56
"Startup_374","Pemasaran",3653,3841,11438,-19.67
"Startup_375","CRM",3664,3852,11471,-19.78
"Startup_376","Proyek",3675,3863,11504,-19.89
"Startup_377","Keuangan",3686,3874,11537,-20
"Startup_378","SDM",3697,3885,1157,-20.11
"Startup_379","Pemasaran",3708,3896,11603,-20.22
"Startup_380","CRM",3719,3907,11636,-20.33
"Startup_381","Proyek",373,3918,11669,-20.44
"Startup_382","Keuangan",3741,3929,11702,-20.55
"Startup_383","SDM",3752,394,11735,-20.66
"Startup_384","Pemasaran",3763,3951,11768,-20.77
"Startup_385","CRM",3774,3962,11801,-20.88
"Startup_386","Proyek",3785,3973,11834,-20.99
"Startup_387","Keuangan",3796,3984,11867,-21.1
"Startup_388","SDM",3807,3995,1190,-21.21
"Startup_389","Pemasaran",3818,4006,11933,-21.32
"Startup_390","CRM",3829,4017,11966,-21.43
"Startup_391","Proyek",384,4028,11999,-21.54
"Startup_392","Keuangan",3851,4039,12032,-21.65
"Startup_393","SDM",3862,405,12065,-21.76
"Startup_394","Pemasaran",3873,4061,12098,-21.87
"Startup_395","CRM",3884,4072,12131,-21.98
"Startup_396","Proyek",3895,4083,12164,-22.09
"Startup_397","Keuangan",3906,4094,12197,-22.2
"Startup_398","SDM",3917,4105,1223,-22.31
"Startup_399","Pemasaran",3928,4116,12263,-22.42
"Startup_400","CRM",3939,4127,12296,-22.53
"Startup_401","Proyek",395,4138,12329,-22.64
"Startup_402","Keuangan",3961,4149,12362,-22.75
"Startup_403","SDM",3972,416,12395,-22.86
"Startup_404","Pemasaran",3983,4171,12428,-22.97
"Startup_405","CRM",3994,4182,12461,-23.08
"Startup_406","Proyek",4005,4193,12494,-23.19
"Startup_407","Keuangan",4016,4204,12527,-23.3
"Startup_408","SDM",4027,4215,1256,-23.41
"Startup_409","Pemasaran",4038,4226,12593,-23.52
"Startup_410","CRM",4049,4237,12626,-23.63
"Startup_411","Proyek",406,4248,12659,-23.74
"Startup_412","Keuangan",4071,4259,12692,-23.85
"Startup_413","SDM",4082,427,12725,-23.96
"Startup_414","Pemasaran",4093,4281,12758,-24.07
"Startup_415","CRM",4104,4292,12791,-24.18
"Startup_416","Proyek",4115,4303,12824,-24.29
"Startup_417","Keuangan",4126,4314,12857,-24.4
"Startup_418","SDM",4137,4325,1289,-24.51
"Startup_419","Pemasaran",4148,4336,12923,-24.62
"Startup_420","CRM",4159,4347,12956,-24.73
"Startup_421","Proyek",417,4358,12989,-24.84
"Startup_422","Keuangan",4181,4369,13022,-24.95
"Startup_423","SDM",4192,438,13055,-25.06
"Startup_424","Pemasaran",4203,4391,13088,-25.17
"Startup_425","CRM",4214,4402,13121,-25.28
"Startup_426","Proyek",4225,4413,13154,-25.39
"Startup_427","Keuangan",4236,4424,13187,-25.5
"Startup_428","SDM",4247,4435,1322,-25.61
"Startup_429","Pemasaran",4258,4446,13253,-25.72
"Startup_430","CRM",4269,4457,13286,-25.83
"Startup_431","Proyek",428,4468,13319,-25.94
"Startup_432","Keuangan",4291,4479,13352,-26.05
"Startup_433","SDM",4302,449,13385,-26.16
"Startup_434","Pemasaran",4313,4501,13418,-26.27
"Startup_435","CRM",4324,4512,13451,-26.38
"Startup_436","Proyek",4335,4523,13484,-26.49
"Startup_437","Keuangan",4346,4534,13517,-26.6
"Startup_438","SDM",4357,4545,1355,-26.71
"Startup_439","Pemasaran",4368,4556,13583,-26.82
"Startup_440","CRM",4379,4567,13616,-26.93
"Startup_441","Proyek",439,4578,13649,-27.04
"Startup_442","Keuangan",4401,4589,13682,-27.15
"Startup_443","SDM",4412,460,13715,-27.26
"Startup_444","Pemasaran",4423,4611,13748,-27.37
"Startup_445","CRM",4434,4622,13781,-27.48
"Startup_446","Proyek",4445,4633,13814,-27.59
"Startup_447","Keuangan",4456,4644,13847,-27.7
"Startup_448","SDM",4467,4655,1388,-27.81
"Startup_449","Pemasaran",4478,4666,13913,-27.92
"Startup_450","CRM",4489,4677,13946,-28.03
"Startup_451","Proyek",450,4688,13979,-28.14
"Startup_452","Keuangan",4511,4699,14012,-28.25
"Startup_453","SDM",4522,471,14045,-28.36
"Startup_454","Pemasaran",4533,4721,14078,-28.47
"Startup_455","CRM",4544,4732,14111,-28.58
"Startup_456","Proyek",4555,4743,14144,-28.69
"Startup_457","Keuangan",4566,4754,14177,-28.8
"Startup_458","SDM",4577,4765,1421,-28.91
"Startup_459","Pemasaran",4588,4776,14243,-29.02
"Startup_460","CRM",4599,4787,14276,-29.13
"Startup_461","Proyek",461,4798,14309,-29.24
"Startup_462","Keuangan",4621,4809,14342,-29.35
"Startup_463","SDM",4632,482,14375,-29.46
"Startup_464","Pemasaran",4643,4831,14408,-29.57
"Startup_465","CRM",4654,4842,14441,-29.68
"Startup_466","Proyek",4665,4853,14474,-29.79
"Startup_467","Keuangan",4676,4864,14507,-29.9
"Startup_468","SDM",4687,4875,1454,-30.01
"Startup_469","Pemasaran",4698,4886,14573,-30.12
"Startup_470","CRM",4709,4897,14606,-30.23
"Startup_471","Proyek",472,4908,14639,-30.34
"Startup_472","Keuangan",4731,4919,14672,-30.45
"Startup_473","SDM",4742,493,14705,-30.56
"Startup_474","Pemasaran",4753,4941,14738,-30.67
"Startup_475","CRM",4764,4952,14771,-30.78
"Startup_476","Proyek",4775,4963,14804,-30.89
"Startup_477","Keuangan",4786,4974,14837,-31
"Startup_478","SDM",4797,4985,1487,-31.11
"Startup_479","Pemasaran",4808,4996,14903,-31.22
"Startup_480","CRM",4819,5007,14936,-31.33
"Startup_481","Proyek",483,5018,14969,-31.44
"Startup_482","Keuangan",4841,5029,15002,-31.55
"Startup_483","SDM",4852,504,15035,-31.66
"Startup_484","Pemasaran",4863,5051,15068,-31.77
"Startup_485","CRM",4874,5062,15101,-31.88
"Startup_486","Proyek",4885,5073,15134,-31.99
"Startup_487","Keuangan",4896,5084,15167,-32.1
"Startup_488","SDM",4907,5095,1520,-32.21
"Startup_489","Pemasaran",4918,5106,15233,-32.32
"Startup_490","CRM",4929,5117,15266,-32.43
"Startup_491","Proyek",494,5128,15299,-32.54
"Startup_492","Keuangan",4951,5139,15332,-32.65
"Startup_493","SDM",4962,515,15365,-32.76
"Startup_494","Pemasaran",4973,5161,15398,-32.87
"Startup_495","CRM",4984,5172,15431,-32.98
"Startup_496","Proyek",4995,5183,15464,-33.09
"Startup_497","Keuangan",5006,5194,15497,-33.2
"Startup_498","SDM",5017,5205,1553,-33.31
"Startup_499","Pemasaran",5028,5216,15563,-33.42
"Startup_500","CRM",5039,5227,15596,-33.53
"Startup_501","Proyek",505,5238,15629,-33.64
"Startup_502","Keuangan",5061,5249,15662,-33.75
"Startup_503","SDM",5072,526,15695,-33.86
"Startup_504","Pemasaran",5083,5271,15728,-33.97
"Startup_505","CRM",5094,5282,15761,-34.08
"Startup_506","Proyek",5105,5293,15794,-34.19
"Startup_507","Keuangan",5116,5304,15827,-34.3
"Startup_508","SDM",5127,5315,1586,-34.41
"Startup_509","Pemasaran",5138,5326,15893,-34.52
"Startup_510","CRM",5149,5337,15926,-34.63
"Startup_511","Proyek",516,5348,15959,-34.74
"Startup_512","Keuangan",5171,5359,15992,-34.85
"Startup_513","SDM",5182,537,16025,-34.96
"Startup_514","Pemasaran",5193,5381,16058,-35.07
"Startup_515","CRM",5204,5392,16091,-35.18
"Startup_516","Proyek",5215,5403,16124,-35.29
"Startup_517","Keuangan",5226,5414,16157,-35.4
"Startup_518","SDM",5237,5425,1619,-35.51
"Startup_519","Pemasaran",5248,5436,16223,-35.62
"Startup_520","CRM",5259,5447,16256,-35.73
"Startup_521","Proyek",527,5458,16289,-35.84
"Startup_522","Keuangan",5281,5469,16322,-35.95
"Startup_523","SDM",5292,548,16355,-36.06
"Startup_524","Pemasaran",5303,5491,16388,-36.17
"Startup_525","CRM",5314,5502,16421,-36.28
"Startup_526","Proyek",5325,5513,16454,-36.39
"Startup_527","Keuangan",5336,5524,16487,-36.5
"Startup_528","SDM",5347,5535,1652,-36.61
"Startup_529","Pemasaran",5358,5546,16553,-36.72
"Startup_530","CRM",5369,5557,16586,-36.83
"Startup_531","Proyek",538,5568,16619,-36.94
"Startup_532","Keuangan",5391,5579,16652,-37.05
"Startup_533","SDM",5402,559,16685,-37.16
"Startup_534","Pemasaran",5413,5601,16718,-37.27
"Startup_535","CRM",5424,5612,16751,-37.38
"Startup_536","Proyek",5435,5623,16784,-37.49
"Startup_537","Keuangan",5446,5634,16817,-37.6
"Startup_538","SDM",5457,5645,1685,-37.71
"Startup_539","Pemasaran",5468,5656,16883,-37.82
"Startup_540","CRM",5479,5667,16916,-37.93
"Startup_541","Proyek",549,5678,16949,-38.04
"Startup_542","Keuangan",5501,5689,16982,-38.15
"Startup_543","SDM",5512,570,17015,-38.26
"Startup_544","Pemasaran",5523,5711,17048,-38.37
"Startup_545","CRM",5534,5722,17081,-38.48
"Startup_546","Proyek",5545,5733,17114,-38.59
"Startup_547","Keuangan",5556,5744,17147,-38.7
"Startup_548","SDM",5567,5755,1718,-38.81
